nivel;ano;area;variavel;descricao;n;pearson_r;pearson_p;spearman_rho;spearman_p
ano_area;2024.0;LC;similaridade_com_correta;Similaridade com a correta;800;0.1592422979475451;6.013331016753814e-06;0.24661068156504817;1.5071188742065731e-12
ano_area;2024.0;MT;similaridade_com_correta;Similaridade com a correta;160;-0.03964611264962306;0.6186589891242588;0.025902394200402155;0.7450843036819683
ano_area;2025.0;CH;similaridade_com_correta;Similaridade com a correta;720;0.07752523743681444;0.0375496829108226;0.09645704806758974;0.009604340682586716
ano_area;2025.0;CN;similaridade_com_correta;Similaridade com a correta;512;0.20478088745955897;2.9837126669705383e-06;0.28104095984768723;9.504186445145863e-11
ano_area;2025.0;LC;similaridade_com_correta;Similaridade com a correta;800;0.06243170628648512;0.0775980538194632;0.06451041928343575;0.06820091521952132
ano_area;2025.0;MT;similaridade_com_correta;Similaridade com a correta;112;0.23300298467755068;0.013423267749791716;0.2298501240464247;0.014770761624163747
geral;;;sim_media_outros_distratores;Similaridade com outros distratores;10740;0.10806024669417272;2.8947502027710885e-29;0.12831266753450699;1.1651797134980753e-40
ano;2020.0;;sim_media_outros_distratores;Similaridade com outros distratores;2112;0.07492218513815924;0.000569019733138557;0.08168645448929182;0.00017122022406491672
ano;2022.0;;sim_media_outros_distratores;Similaridade com outros distratores;2096;0.10745056219266635;8.195322640125127e-07;0.11373847038601334;1.779315665511612e-07
ano;2023.0;;sim_media_outros_distratores;Similaridade com outros distratores;2212;0.10140536291216608;1.7624416403565618e-06;0.1106708032363148;1.807166087901491e-07
ano;2024.0;;sim_media_outros_distratores;Similaridade com outros distratores;2176;0.15062546187496756;1.6340347643939566e-12;0.2189249133987289;5.047701266396345e-25
ano;2025.0;;sim_media_outros_distratores;Similaridade com outros distratores;2144;0.11328682629463174;1.4449535739574702e-07;0.12750329666316962;3.130932948317481e-09
area;;CH;sim_media_outros_distratores;Similaridade com outros distratores;3584;0.07850106919683954;2.536067012377418e-06;0.11023406721554314;3.6606050971362734e-11
