cor;area;questao;pct_branco;pct_dupla;pct_A;pct_B;pct_C;pct_D;pct_E
Azul;Linguagens, Códigos e suas Tecnologias;39;0.003112924001717475;0.0004025332760841563;0.1854145907952495;0.14130288422696793;0.2113483963051733;0.3189346403468613;0.142999488325748
Azul;Linguagens, Códigos e suas Tecnologias;40;0.0023615285530270503;0.0005098754830399313;0.1204887369809188;0.19955862959872972;0.15827434938235058;0.06806254541539952;0.4536157386226014
Azul;Ciências Humanas e suas Tecnologias;1;0.001529626449119794;0.0002951910691283813;0.08998279384880095;0.3303312184105818;0.11291536724378966;0.07705129583826217;0.38971932465856546
Azul;Ciências Humanas e suas Tecnologias;2;0.0014759553456419063;0.0005903821382567626;0.24070239599860166;0.05843439911797133;0.2403259203485089;0.09774921343480249;0.3627880711001156
Azul;Ciências Humanas e suas Tecnologias;3;0.0029250751395448692;0.00042936882782310007;0.16656345081989282;0.3644955437680067;0.1545275855569617;0.0666415358518;0.2477718840033388
Azul;Ciências Humanas e suas Tecnologias;4;0.0016638042078145126;0.00037569772434521253;0.1941217597074325;0.12794449822523396;0.5514951059481553;0.08814671399376142;0.0382919221254168
Azul;Ciências Humanas e suas Tecnologias;5;0.0022273507943323316;0.0004025332760841563;0.5373997739869774;0.06554377656998332;0.13703384814077382;0.18847871710703332;0.07154388419523221
Azul;Ciências Humanas e suas Tecnologias;6;0.0013686131386861315;0.00048303993130098755;0.20674821884661918;0.6676435004704934;0.04823228928619438;0.02637451270332034;0.051001478693372765
Azul;Ciências Humanas e suas Tecnologias;7;0.0015564620008587376;0.0009392443108630314;0.6786742352909526;0.03209491270076135;0.19173549272282156;0.06569637620725835;0.031798983078206125
Azul;Ciências Humanas e suas Tecnologias;8;0.0024420352082438813;0.0006440532417346501;0.19319497160085064;0.3750841207031145;0.20474306172440712;0.06492772349188404;0.16205012247974374
Azul;Ciências Humanas e suas Tecnologias;9;0.002468870759982825;0.0004562043795620438;0.2789664917238595;0.2786166061095411;0.19114520252994213;0.19060691696945228;0.06066478266720495
Azul;Ciências Humanas e suas Tecnologias;10;0.0016101331043366252;0.00048303993130098755;0.34970150056472865;0.5425160006454042;0.030468455870488895;0.0284515677943312;0.04886247512504706
